Partner,Dependents,tenure,ContractType,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizenCat,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Mailed check
1,1,45,0,0,54.65,2553.7,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,55,0,0,100.9,5448.6,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1
1,1,14,0,0,19.75,309.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,15,0,0,18.8,294.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,1,1,80.15,319.85,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,42,0,1,54.75,2348.45,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0
1,1,64,0,1,109.2,6741.15,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
0,0,66,0,0,25.1,1697.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,10,1,0,75.3,720.45,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
1,1,50,0,1,44.8,2230.85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,27,0,0,48.7,1421.75,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0
1,1,66,0,1,104.9,6891.45,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
0,0,2,1,1,19.65,31.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,49.5,49.5,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,1,47,0,0,20.55,1013.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,2,0,0,20.3,31.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,17,1,0,24.8,475.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,1,0,20.2,20.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,72,0,0,79.55,5810.9,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
1,0,13,1,1,76.2,981.45,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0
1,1,58,0,1,44.1,2413.05,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,1,12,1,1,69.85,837.5,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
0,1,3,1,0,20.85,60.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,34,1,0,19.7,675.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,28,0,0,100.2,2688.45,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
1,1,59,0,0,19.5,1222.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,19.65,19.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,4,1,1,20.7,83.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,33,1,1,44.55,1462.6,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,2,1,0,69.95,143.9,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
0,0,19,0,1,87.7,1725.95,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0
0,0,18,1,1,50.0,892.7,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
0,1,39,0,0,25.45,958.45,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
